uid,geo_unit_el,geo_unit,state_el,state,region_el,region,lat,long,population,map_value,areaid
,Αττική,Attica,Περιφέρεια Αττικής,Attica,Π.Ε. Νότιου Τομεα Αθηνών,South Athens,37.9160126,23.7044747,529826,,907
,Θράκη,Thrace,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Π.Ε. Σποράδων,Sporades,39.1166661,23.7079123,13798,Ν. Μαγνησίας,504
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Π.Ε. Σύρου,Syros,37.4385785,24.8788697,21507,Ν. Κυκλάδων,1212
,Macedonia,Macedonia,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Π.Ε. Θάσου,Thasos,40.6844741,24.5783376,13770,Ν. Καβάλας,103
EL212,Ήπειρος,Epirus,Περιφέρεια Ηπείρου,Epirus,Π.Ε. Θεσπρωτίας,Thesprotia,39.4935011,20.3785438,43587,,402
EL122,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Θεσσαλονίκης,Thessaloniki,40.6400629,22.9444191,1110551,,202
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Π.Ε. Τήνου,Tinos,37.6017229,25.0431523,8636,Ν. Κυκλάδων,1213
EL144,Θεσσαλία,Thessaly,Περιφέρεια Θεσσαλίας,Thessaly,Π.Ε. Τρικάλων,Trikala,39.5557317,21.7678951,131085,,505
,Αττική,Attica,Περιφέρεια Αττικής,Attica,Π.Ε. Δυτικού Τομέα Αθηνών,West Athens,38.0210325,23.5757829,489675,,904
,Αττική,Attica,Περιφέρεια Αττικής,Attica,Π.Ε. Δυτικής Αττικής,West Attica,38.1099664,23.1351016,160927,,903
EL112,Θράκη,Thrace,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Π.Ε. Ξάνθης,Xanthi,41.1362513,24.8877024,111222,,105
EL221,Νησιά Ιονίου Πελάγους,Aegean,Περιφέρεια Ιονίων Νήσων,Ionian Islands,Π.Ε. Ζακύνθου,Zakynthos,37.7870331,20.8998759,40759,,601
